,index,Postal Code,Borough,Neighbourhood
0,2,M3A,North York,Parkwoods
1,3,M4A,North York,Victoria Village
2,4,M5A,Downtown Toronto,"Regent Park, Harbourfront"
3,5,M6A,North York,"Lawrence Manor, Lawrence Heights"
4,6,M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
5,8,M9A,Etobicoke,"Islington Avenue, Humber Valley Village"
6,9,M1B,Scarborough,"Malvern, Rouge"
7,11,M3B,North York,Don Mills
8,12,M4B,East York,"Parkview Hill, Woodbine Gardens"
9,13,M5B,Downtown Toronto,"Garden District, Ryerson"
10,14,M6B,North York,Glencairn
11,17,M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
12,18,M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek"
13,20,M3C,North York,Don Mills
14,21,M4C,East York,Woodbine Heights
15,22,M5C,Downtown Toronto,St. James Town
16,23,M6C,York,Humewood-Cedarvale
17,26,M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
18,27,M1E,Scarborough,"Guildwood, Morningside, West Hill"
19,30,M4E,East Toronto,The Beaches
20,31,M5E,Downtown Toronto,Berczy Park
21,32,M6E,York,Caledonia-Fairbanks
22,36,M1G,Scarborough,Woburn
23,39,M4G,East York,Leaside
24,40,M5G,Downtown Toronto,Central Bay Street
25,41,M6G,Downtown Toronto,Christie
26,45,M1H,Scarborough,Cedarbrae
27,46,M2H,North York,Hillcrest Village
28,47,M3H,North York,"Bathurst Manor, Wilson Heights, Downsview North"
29,48,M4H,East York,Thorncliffe Park
30,49,M5H,Downtown Toronto,"Richmond, Adelaide, King"
31,50,M6H,West Toronto,"Dufferin, Dovercourt Village"
32,54,M1J,Scarborough,Scarborough Village
33,55,M2J,North York,"Fairview, Henry Farm, Oriole"
34,56,M3J,North York,"Northwood Park, York University"
35,57,M4J,East York,"East Toronto, Broadview North (Old East York)"
36,58,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
37,59,M6J,West Toronto,"Little Portugal, Trinity"
38,63,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
39,64,M2K,North York,Bayview Village
40,65,M3K,North York,Downsview
41,66,M4K,East Toronto,"The Danforth West, Riverdale"
42,67,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
43,68,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
44,72,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge"
45,73,M2L,North York,"York Mills, Silver Hills"
46,74,M3L,North York,Downsview
47,75,M4L,East Toronto,"India Bazaar, The Beaches West"
48,76,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
49,77,M6L,North York,"North Park, Maple Leaf Park, Upwood Park"
50,80,M9L,North York,Humber Summit
51,81,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
52,82,M2M,North York,"Willowdale, Newtonbrook"
53,83,M3M,North York,Downsview
54,84,M4M,East Toronto,Studio District
55,85,M5M,North York,"Bedford Park, Lawrence Manor East"
56,86,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
57,89,M9M,North York,"Humberlea, Emery"
58,90,M1N,Scarborough,"Birch Cliff, Cliffside West"
59,91,M2N,North York,"Willowdale, Willowdale East"
60,92,M3N,North York,Downsview
61,93,M4N,Central Toronto,Lawrence Park
62,94,M5N,Central Toronto,Roselawn
63,95,M6N,York,"Runnymede, The Junction North"
64,98,M9N,York,Weston
65,99,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
66,100,M2P,North York,York Mills West
67,102,M4P,Central Toronto,Davisville North
68,103,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
69,104,M6P,West Toronto,"High Park, The Junction South"
70,107,M9P,Etobicoke,Westmount
71,108,M1R,Scarborough,"Wexford, Maryvale"
72,109,M2R,North York,"Willowdale, Willowdale West"
73,111,M4R,Central Toronto,"North Toronto West, Lawrence Park"
74,112,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
75,113,M6R,West Toronto,"Parkdale, Roncesvalles"
76,114,M7R,Mississauga,Canada Post Gateway Processing Centre
77,116,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
78,117,M1S,Scarborough,Agincourt
79,120,M4S,Central Toronto,Davisville
80,121,M5S,Downtown Toronto,"University of Toronto, Harbord"
81,122,M6S,West Toronto,"Runnymede, Swansea"
82,126,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
83,129,M4T,Central Toronto,"Moore Park, Summerhill East"
84,130,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
85,135,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
86,138,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
87,139,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
88,142,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
89,143,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
90,144,M1W,Scarborough,"Steeles West, L'Amoreaux West"
91,147,M4W,Downtown Toronto,Rosedale
92,148,M5W,Downtown Toronto,Stn A PO Boxes
93,151,M8W,Etobicoke,"Alderwood, Long Branch"
94,152,M9W,Etobicoke,"Northwest, West Humber - Clairville"
95,153,M1X,Scarborough,Upper Rouge
96,156,M4X,Downtown Toronto,"St. James Town, Cabbagetown"
97,157,M5X,Downtown Toronto,"First Canadian Place, Underground city"
98,160,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
99,165,M4Y,Downtown Toronto,Church and Wellesley
100,168,M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
101,169,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
102,178,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
